crate,file,item_kind,item_name,outcome,gap_summary
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,is_blake3_512_cid,refuses-with-typed-reason,let-binding: unsupported statement Stmt::Local
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,json_cid,refuses-with-typed-reason,let-binding: unsupported statement Stmt::Local
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,json_jcs,refuses-with-typed-reason,let-binding: unsupported statement Stmt::Local
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,json_to_cvalue,refuses-with-typed-reason,unsupported-return-type: unsupported function return type for term emission
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,serializable_cid,refuses-with-typed-reason,complex-generic: generic params or where predicates are not carried in emitted rust term
libsugar,implementations/rust/libsugar/src/canonical.rs,fn,serializable_jcs,refuses-with-typed-reason,complex-generic: generic params or where predicates are not carried in emitted rust term
libsugar,implementations/rust/libsugar/src/ci.rs,enum,CIJobResult,handles-partially-with-loss-record,"procedural-macro: derive(Debug , Clone , PartialEq , Eq , Serialize , Deserialize) is not expanded or represented"
libsugar,implementations/rust/libsugar/src/ci.rs,enum,CINondeterminismMode,handles-partially-with-loss-record,"procedural-macro: derive(Debug , Clone , Copy , PartialEq , Eq , Serialize , Deserialize) is not expanded or represented"
libsugar,implementations/rust/libsugar/src/ci.rs,enum,CIReuseReason,handles-partially-with-loss-record,"procedural-macro: derive(Debug , Clone , PartialEq , Eq , Serialize , Deserialize) is not expanded or represented"
libsugar,implementations/rust/libsugar/src/ci.rs,fn,admit_identical_reuse,refuses-with-typed-reason,term-emitter-unsupported: unsupported expression statement Expr::Try
libsugar,implementations/rust/libsugar/src/ci.rs,fn,check_ci_body,refuses-with-typed-reason,let-binding: unsupported statement Stmt::Local
libsugar,implementations/rust/libsugar/src/ci.rs,fn,ci_job_result_name,refuses-with-typed-reason,unsupported-return-type: unsupported function return type for term emission
libsugar,implementations/rust/libsugar/src/ci.rs,fn,cid_set,refuses-with-typed-reason,unsupported-return-type: unsupported function return type for term emission
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIBlastRadius::cid,refuses-with-typed-reason,unsupported-return-type: unsupported function return type for term emission
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIBlastRadius::validate,refuses-with-typed-reason,term-emitter-unsupported: unsupported expression statement Expr::Try
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIBlastRadiusInput::build,refuses-with-typed-reason,let-binding: unsupported statement Stmt::Local
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIImpactBodyClaim::cid,refuses-with-typed-reason,unsupported-return-type: unsupported function return type for term emission
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIImpactBodyClaim::validate,refuses-with-typed-reason,term-emitter-unsupported: unsupported expression statement Expr::Try
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIImpactInput::build,refuses-with-typed-reason,let-binding: unsupported statement Stmt::Local
libsugar,implementations/rust/libsugar/src/ci.rs,fn,impl CIJobResultBodyClaim::cid,refuses-with-typed-reason,unsupported-return-type: unsupported function return type for term emission
